onset	duration	trial_type	descriptor
0.0	3.9762291199999993	CSplus	target
23.48196288599999	3.9927103560000035	CSplus	target
46.97950478199999	3.993562474000015	CSminus	target
70.482501987	3.989004862999991	CSplus	condit
93.976433472	3.993485805000006	CSminus	condit
117.47408856099997	3.994251595000037	CSplus	condit
140.97507907699998	3.991647245000024	CSplus	target
164.468841527	3.9963059759999737	CSplus	target
187.96750297900002	3.9960708369999907	CSminus	target
211.47325726999998	3.9887398390000044	CSminus	condit
234.96634931300002	3.9940638459999604	CSplus	condit
258.465126978	3.9937070600000197	CSplus	condit
281.964930927	3.992275694	CSplus	target
305.459075215	3.9966114470000207	CSplus	target
328.96081341	3.9932443259999673	CSminus	target
352.466708061	3.9857874579999475	CSminus	condit
375.959932918	3.991120518999992	CSplus	condit
399.45820709799995	3.991211376000024	CSplus	condit
422.957890006	3.989831927999944	CSplus	target
446.45004088599995	3.996091664000005	CSplus	target
469.94809864099994	3.996459919000017	CSminus	target
493.45525803699996	3.987738305999983	CSplus	condit
516.9476621680001	3.993730905999996	CSplus	condit
540.445115018	3.9947158380000474	CSminus	condit
563.946567967	3.9916403019999507	CSplus	target
587.4403524510001	3.9962456069999917	CSplus	target
610.9389465910001	3.996104945999946	CSminus	target
634.4436072840001	3.9898932029999514	CSplus	condit
657.9377491580001	3.9941553049999357	CSplus	condit
681.436654202	3.9936654050000016	CSminus	condit
704.9366350339999	3.9920511190000525	CSplus	target
728.4312674109999	3.995857430000001	CSplus	target
751.9287706709999	3.996769011999959	CSminus	target
775.434725389	3.9892605280000453	CSplus	condit
798.9287890830001	3.9936104689999183	CSminus	condit
822.426748738	3.9940831630000275	CSplus	condit
845.9272224890001	3.991966603999913	CSplus	target
869.421772463	3.9958432399999992	CSplus	target
892.919671143	3.996362719999979	CSminus	target
