onset	duration	trial_type	descriptor
0.0	3.9785546909999994	CSminus	target
23.480477907999997	3.9963808569999912	CSplus	target
46.97934462400001	3.9958281749999855	CSplus	target
70.49246001799999	3.9810826580000196	CSplus	condit
93.97942974499999	3.992417608000011	CSplus	condit
117.477818336	3.9923355060000176	CSminus	condit
140.977558596	3.9908311020000156	CSminus	target
164.470698675	3.996018640999978	CSplus	target
187.96913858	3.9958906580000075	CSplus	target
211.47554905099997	3.987810522000018	CSminus	condit
234.96956991899998	3.9920976509999946	CSplus	condit
258.468030652	3.9919675550000306	CSplus	condit
281.966968	3.991245537999987	CSminus	target
305.46070815	3.9958209319999582	CSplus	target
328.95851115799996	3.9962966420000043	CSplus	target
352.465713977	3.9874966009999753	CSplus	condit
375.959849547	3.991646994000007	CSplus	condit
399.45728067999994	3.992510578000065	CSminus	condit
422.958621936	3.9894081959999994	CSminus	target
446.45017007499996	3.996183148	CSplus	target
469.94863865599996	3.9959815130000607	CSplus	target
493.45639928699995	3.986722364000002	CSplus	condit
516.949130666	3.9921691890000375	CSplus	condit
540.447603472	3.9920040790000257	CSminus	condit
563.947004155	3.990833819000045	CSminus	target
587.440007498	3.996120665000035	CSplus	target
610.93856965	3.9958710380000184	CSplus	target
634.445044415	3.987724494999952	CSminus	condit
657.938952694	3.992146852000019	CSplus	condit
681.437471985	3.991898431999971	CSplus	condit
704.936185966	3.9914550199999894	CSminus	target
728.4299064969999	3.9960397700000385	CSplus	target
751.928074739	3.996176809000076	CSplus	target
775.434110619	3.9884836390000373	CSplus	condit
798.9288254319999	3.9920795410000665	CSminus	condit
822.4268783699999	3.9923346000000492	CSplus	condit
845.92624917	3.9911987509999562	CSminus	target
869.419410378	3.996358219000058	CSplus	target
892.91824299	3.995839939999996	CSplus	target
