onset	duration	trial_type	descriptor
17.491312090899996	3.9900491416000037	CSplus	condit
40.983607616300006	3.9964686315999955	CSplus	condit
64.4826232764	3.9961658737999954	CSminus	condit
87.9813829655	3.9961269349999924	CSplus	condit
111.4798205795	3.996394073999994	CSplus	condit
134.9791525805	3.995779201000005	CSminus	condit
158.4772548355	3.9964013190000003	CSplus	condit
181.9762605345	3.996106107000003	CSplus	condit
205.4748327735	3.9962515999999937	CSminus	condit
228.97356771149998	3.99625220300004	CSplus	condit
252.47242338950002	3.996097655999961	CSplus	condit
275.9710158535	3.996215075000009	CSminus	condit
299.4697661855	3.9961845880000055	CSplus	condit
322.9682677915	3.9963995069999783	CSplus	condit
346.4668602545	3.9965268889999948	CSminus	condit
369.9657606075	3.9963282699999922	CSplus	condit
393.4645378035	3.9962736350000228	CSplus	condit
416.9634701525	3.996033964999981	CSminus	condit
440.4621552845	3.9960895059999757	CSplus	condit
463.9605059645	3.996477083000002	CSplus	condit
487.45929644250003	3.996388640999953	CSminus	condit
510.95840386649996	3.995988083000043	CSplus	condit
534.4564539015	3.996659099999988	CSplus	condit
557.9557400204999	3.9960701870001003	CSminus	condit
581.4540777205	3.9964595760000066	CSplus	condit
604.9530665165	3.9961912290000328	CSplus	condit
628.4515542365	3.996423353999944	CSminus	condit
651.9503024554999	3.9964004130000603	CSplus	condit
675.4491318734999	3.996277860999953	CSplus	condit
698.9477345995001	3.9963955829999804	CSminus	condit
722.4466732875001	3.996150780999983	CSplus	condit
745.9451386705	3.9964013190000287	CSplus	condit
769.4437782235	3.9964831199999935	CSminus	condit
792.9429128125	3.99606565900001	CSplus	condit
816.4415994545	3.9960882970000284	CSplus	condit
839.9403700104999	3.996036076999985	CSminus	condit
