onset	duration	trial_type	descriptor
0.0	3.9794564873000056	CSplus	target
23.4815856959	3.9959724936	CSplus	target
46.978876946599996	3.996767852800005	CSminus	target
70.4933431295	3.980481851999997	CSminus	condit
93.97978278049999	3.992132734000023	CSplus	condit
117.4780948685	3.9919298949999984	CSplus	condit
140.9769010745	3.9911182360000055	CSplus	target
164.4699073455	3.9962465680000037	CSplus	target
187.9680760575	3.9962399269999764	CSminus	target
211.4752134645	3.987183394999988	CSplus	condit
234.9685659505	3.991967927000019	CSplus	condit
258.4665082785	3.992087155999968	CSminus	condit
281.96510108150005	3.9915495710000073	CSplus	target
305.4586956465	3.996060331000024	CSplus	target
328.95688397850006	3.9959395919999565	CSminus	target
352.4637590825	3.987241652000023	CSplus	condit
375.9568894115	3.9922018560000083	CSminus	condit
399.4544308905	3.992775058999996	CSplus	condit
422.9550949485	3.9900919650000333	CSplus	target
446.4473502305	3.995972494	CSplus	target
469.94467589149997	3.9967482330000053	CSminus	target
493.4514513875	3.9881668040000022	CSplus	condit
516.9450311625001	3.992627154999923	CSminus	condit
540.4436444905	3.992124886000056	CSplus	condit
563.9428551675	3.9909307909999825	CSplus	target
587.4356039655	3.9962969759999396	CSplus	target
610.9334813975	3.9965025320000223	CSminus	target
634.4407965905	3.9873430720000442	CSplus	condit
657.9340926325	3.9921487320000324	CSminus	condit
681.4320334515	3.992319576	CSplus	condit
704.9308164155	3.991541120000079	CSplus	target
728.4244858385	3.9959884910000483	CSplus	target
751.9224031145001	3.9961614479999525	CSminus	target
775.4297007995	3.9869947440000715	CSplus	condit
798.9226708495	3.9921119069999804	CSminus	condit
822.4201525645001	3.9927454769999713	CSplus	condit
845.9198229505	3.991080203000024	CSplus	target
869.4131117475	3.9959142380000685	CSplus	target
892.9109864625	3.9961442430000034	CSminus	target
