onset	duration	trial_type	descriptor
15.595075885499995	3.986347226700005	CSplus	condit
39.0871601144	3.992970768600003	CSplus	condit
62.585933387299995	3.9928953051000065	CSminus	condit
86.08114903039998	3.9963844150000085	CSplus	condit
109.5799386034	3.996302311000022	CSplus	condit
133.0785524984	3.996413391999994	CSminus	condit
156.5773719544	3.9962926510000045	CSplus	condit
180.0762378954	3.9961607420000007	CSplus	condit
203.5750141874	3.9960792420000075	CSminus	condit
227.07321545040003	3.9966117089999784	CSplus	condit
250.57209920039998	3.996440559000007	CSplus	condit
274.0705129674	3.9967399969999633	CSminus	condit
297.5699240544	3.9960566029999995	CSplus	condit
321.06841932140003	3.996304724999959	CSplus	condit
344.5670483084	3.9963575500000275	CSminus	condit
368.0657364584	3.9963738499999977	CSplus	condit
391.5645124484	3.9963164979999988	CSplus	condit
415.0633228484	3.99622352800003	CSminus	condit
438.5621501534	3.9961278399999856	CSplus	condit
462.0600960494	3.9968936390000067	CSplus	condit
485.5595306804	3.996155912000063	CSminus	condit
509.0581539324	3.996254014999977	CSplus	condit
532.5568001254	3.9963171020000345	CSplus	condit
556.0555423074	3.9962893319999466	CSminus	condit
579.5544619783999	3.9961236150001014	CSplus	condit
603.0527788513999	3.9965124000000287	CSplus	condit
626.5517329334	3.996256730999903	CSminus	condit
650.0502583854	3.9964236559999335	CSplus	condit
673.5487910823999	3.9965794109999706	CSplus	condit
697.0476953583999	3.9964197320000494	CSminus	condit
720.5465253793999	3.9963050280000516	CSplus	condit
744.0453934343999	3.9961432350000905	CSplus	condit
767.5436514454	3.9966095959999848	CSminus	condit
791.0426658974	3.9963379299999815	CSplus	condit
814.5411822944	3.996558584000013	CSplus	condit
838.0400606124	3.9963810939999576	CSminus	condit
