onset	duration	trial_type	descriptor
0.0	3.9772197871999992	CSplus	target
23.48229522070001	3.9933436343999915	CSplus	target
46.98073873790001	3.993388006999993	CSminus	target
70.4806293179	3.9918872150000198	CSplus	condit
93.97504858990001	3.995880067999991	CSminus	condit
117.47339762890002	3.9959437589999993	CSplus	condit
140.9759345159	3.991801188000011	CSplus	target
164.4702134279	3.9959452679999856	CSplus	target
187.9681703659	3.9964209810000284	CSminus	target
211.47156691690003	3.991471871999977	CSplus	condit
234.96544316390003	3.996016804999954	CSminus	condit
258.4633844049	3.996499159999985	CSplus	condit
281.9656330269	3.9926457600000163	CSplus	target
305.4604163279	3.9962818289999973	CSplus	target
328.9591281889	3.995993260999967	CSminus	target
352.4640406239	3.9895255509999856	CSminus	condit
375.9555684879	3.9965405130000136	CSplus	condit
399.4540847509	3.9963355579999984	CSplus	condit
422.9565923589	3.9922129089999885	CSplus	target
446.4511417269	3.996098909000011	CSplus	target
469.9494376409	3.996206970000003	CSminus	target
493.4522093659	3.9918911390000176	CSplus	condit
516.9464257959	3.9960967949999713	CSminus	condit
540.4449794879	3.995961265999995	CSplus	condit
563.9466850839	3.992638818000046	CSplus	target
587.4416872249	3.9960602720000225	CSplus	target
610.9397968979	3.9963796279999997	CSminus	target
634.4431001789	3.9915123180001046	CSplus	condit
657.9361393989	3.996905448000007	CSminus	condit
681.4353828149	3.9960771759999716	CSplus	condit
704.9379815809	3.991862463000075	CSplus	target
728.4319278559	3.99634672600007	CSplus	target
751.9305817619	3.9961209439999266	CSminus	target
775.4339758989	3.99114074299996	CSminus	condit
798.9272221869	3.996348234999914	CSplus	condit
822.4259557809	3.996056347999911	CSplus	condit
845.9282723179	3.9920963959999654	CSplus	target
869.4226441999	3.996149920999983	CSplus	target
892.9209630539	3.996260398000004	CSminus	target
